placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
town,MultiPolygon,municipality,Polygon,abuts,"Waupun,wisconsin","town of waupun ,wisconsin",abuts,touches,abuts
man_made,Polygon,river,LineString,"""The Rainbow Bridge across the Neches River connects Port Arthur to Bridge City.""","Rainbow Bridge, Texas", Neches River ,across,crosses,across
town,Polygon,city,MultiPolygon,"""Benicia is just east of Vallejo and across the strait from Martinez.""","Benicia, California","Martinez, California",across from,touches,is across from
city,Polygon,man_made,Polygon,"""Laredo (/l…ôÀàre…™do ä/ l…ô-RAY-doh; Spanish: [laÀà…æe√∞o]) is a city in and the county seat of Webb County, Texas, United States, on the north bank of the Rio Grande in South Texas, across from Nuevo Laredo, Tamaulipas, Mexico.""","Laredo, Webb County, Texas","Nuevo Laredo, Tamaulipas, Mexico.",across from,touches,is across from
city,Polygon,county,Polygon,"""The city limits extend south to the Rio Grande, across from the Mexican city of Reynosa.""","McAllen, Texas","Reynosa, Mexico",across from,touches,is across from
city,Polygon,state,Polygon,"""The city is located along the Rio Grande, across from Ciudad Miguel Alemán in Tamaulipas, Mexico.""","Roma, Texas"," Tamaulipas, Mexico",across from,touches,is across from
city,Polygon,bay,Polygon,"""The city takes its name from the adjacent Suisun Bay, which in turn is named for the Suisun people, an indigenous Native American tribe of the area.""","Suisun City, California","Suisun Bay, California",adjacent,disjoint,is adjacent to
city,Polygon,city,MultiPolygon,"""Rosenberg is adjacent to the city of Richmond, the Fort Bend County seat.""","Rosenberg, Texas","Richmond, Texas",adjacent to,touches,is adjacent to
city,Polygon,village,Polygon,"""Rockport is adjacent to the town of Fulton, and many refer to the combined communities as 'Rockport-Fulton'.""","Rockport, Texas","Fulton, Texas",adjacent to,touches,is adjacent to
city,Polygon,city,Polygon,"""Its location is approximately 30 miles from Dallas and 20 miles from Fort Worth, and is adjacent to Arlington.""","Mansfield, Texas","Arlington, Texas",adjacent to,touches,is adjacent to
